schema_version,map,starting_players_total,lobby_capacity,observed_from_start,wave_1_time_left,wave_1_players_at_roll,wave_1_disasters,wave_1_players_after,wave_1_deaths,wave_1_survival_fraction,wave_1_mortality_fraction,wave_2_time_left,wave_2_players_at_roll,wave_2_disasters,wave_2_players_after,wave_2_deaths,wave_2_survival_fraction,wave_2_mortality_fraction,wave_3_time_left,wave_3_players_at_roll,wave_3_disasters,wave_3_players_after,wave_3_deaths,wave_3_survival_fraction,wave_3_mortality_fraction,wave_count,end_players_total,total_deaths,end_survival_fraction,disaster_count,all_disasters,recorder_moving,player_count_basis,recorder_alive_at_game_start,game_start_players_model,before_wave_1_losses_total_raw,before_wave_1_losses_model,recorder_alive_wave_1_roll,wave_1_players_at_roll_model,wave_1_players_after_model,recorder_alive_wave_2_roll,wave_2_players_at_roll_model,wave_2_players_after_model,recorder_alive_wave_3_roll,wave_3_players_at_roll_model,wave_3_players_after_model,recorder_alive_end,end_players_model,total_deaths_model,end_survival_fraction_model,prediction_model,percentage_based_averages,wave_specific,prediction_wave_1_end_players,prediction_wave_2_end_players,prediction_wave_3_end_players,ticket_to_ride_loss,complete_game,disaster_chat_deaths,fall,void,misc,wave_1_fall,wave_1_void,wave_1_misc,wave_2_fall,wave_2_void,wave_2_misc,wave_3_fall,wave_3_void,wave_3_misc,wave_1_active_disasters,wave_1_deaths_acid_rain,wave_1_deaths_anvil_rain,wave_1_deaths_bat_swarm,wave_1_deaths_blackout,wave_1_deaths_disco,wave_1_deaths_dragons,wave_1_deaths_flood,wave_1_deaths_fragile_ground,wave_1_deaths_grounded,wave_1_deaths_half_health,wave_1_deaths_hot_potato,wave_1_deaths_hypixel_says,wave_1_deaths_lightning,wave_1_deaths_meteor_shower,wave_1_deaths_nuke,wave_1_deaths_purge,wave_1_deaths_red_light_green_light,wave_1_deaths_sinkhole,wave_1_deaths_solar_flare,wave_1_deaths_stampede,wave_1_deaths_swappage,wave_1_deaths_the_floor_is_lava,wave_1_deaths_tnt_rain,wave_1_deaths_tornado,wave_1_deaths_werewolf,wave_1_deaths_withers,wave_1_deaths_zombie_apocalypse,wave_2_active_disasters,wave_2_deaths_acid_rain,wave_2_deaths_anvil_rain,wave_2_deaths_bat_swarm,wave_2_deaths_blackout,wave_2_deaths_disco,wave_2_deaths_dragons,wave_2_deaths_flood,wave_2_deaths_fragile_ground,wave_2_deaths_grounded,wave_2_deaths_half_health,wave_2_deaths_hot_potato,wave_2_deaths_hypixel_says,wave_2_deaths_lightning,wave_2_deaths_meteor_shower,wave_2_deaths_nuke,wave_2_deaths_purge,wave_2_deaths_red_light_green_light,wave_2_deaths_sinkhole,wave_2_deaths_solar_flare,wave_2_deaths_stampede,wave_2_deaths_swappage,wave_2_deaths_the_floor_is_lava,wave_2_deaths_tnt_rain,wave_2_deaths_tornado,wave_2_deaths_werewolf,wave_2_deaths_withers,wave_2_deaths_zombie_apocalypse,wave_3_active_disasters,wave_3_deaths_acid_rain,wave_3_deaths_anvil_rain,wave_3_deaths_bat_swarm,wave_3_deaths_blackout,wave_3_deaths_disco,wave_3_deaths_dragons,wave_3_deaths_flood,wave_3_deaths_fragile_ground,wave_3_deaths_grounded,wave_3_deaths_half_health,wave_3_deaths_hot_potato,wave_3_deaths_hypixel_says,wave_3_deaths_lightning,wave_3_deaths_meteor_shower,wave_3_deaths_nuke,wave_3_deaths_purge,wave_3_deaths_red_light_green_light,wave_3_deaths_sinkhole,wave_3_deaths_solar_flare,wave_3_deaths_stampede,wave_3_deaths_swappage,wave_3_deaths_the_floor_is_lava,wave_3_deaths_tnt_rain,wave_3_deaths_tornado,wave_3_deaths_werewolf,wave_3_deaths_withers,wave_3_deaths_zombie_apocalypse,deaths_acid_rain,deaths_anvil_rain,deaths_bat_swarm,deaths_blackout,deaths_disco,deaths_dragons,deaths_flood,deaths_fragile_ground,deaths_grounded,deaths_half_health,deaths_hot_potato,deaths_hypixel_says,deaths_lightning,deaths_meteor_shower,deaths_nuke,deaths_purge,deaths_red_light_green_light,deaths_sinkhole,deaths_solar_flare,deaths_stampede,deaths_swappage,deaths_the_floor_is_lava,deaths_tnt_rain,deaths_tornado,deaths_werewolf,deaths_withers,deaths_zombie_apocalypse,game_start_total_health,wave_1_total_health,wave_2_total_health,wave_3_total_health,wave_1_player_01_health,wave_1_player_02_health,wave_1_player_03_health,wave_1_player_04_health,wave_1_player_05_health,wave_1_player_06_health,wave_1_player_07_health,wave_1_player_08_health,wave_1_player_09_health,wave_1_player_10_health,wave_1_player_11_health,wave_1_player_12_health,wave_1_player_13_health,wave_1_player_14_health,wave_1_player_15_health,wave_1_player_16_health,wave_2_player_01_health,wave_2_player_02_health,wave_2_player_03_health,wave_2_player_04_health,wave_2_player_05_health,wave_2_player_06_health,wave_2_player_07_health,wave_2_player_08_health,wave_2_player_09_health,wave_2_player_10_health,wave_2_player_11_health,wave_2_player_12_health,wave_2_player_13_health,wave_2_player_14_health,wave_2_player_15_health,wave_2_player_16_health,wave_3_player_01_health,wave_3_player_02_health,wave_3_player_03_health,wave_3_player_04_health,wave_3_player_05_health,wave_3_player_06_health,wave_3_player_07_health,wave_3_player_08_health,wave_3_player_09_health,wave_3_player_10_health,wave_3_player_11_health,wave_3_player_12_health,wave_3_player_13_health,wave_3_player_14_health,wave_3_player_15_health,wave_3_player_16_health
1,Oil Rig,16,16,true,191,16,Lightning | Bat Swarm,13,3,0.8125,0.1875,136,13,Sinkhole | Grounded,7,6,0.5384615384615384,0.46153846153846156,61,7,Meteor Shower | Purge,1,6,0.14285714285714285,0.8571428571428571,3,1,15,0.0625,6,Lightning | Bat Swarm | Sinkhole | Grounded | Meteor Shower | Purge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Paradise,16,16,true,184,16,Stampede | Nuke,14,2,0.875,0.125,124,14,Flood | Swappage,1,13,0.07142857142857142,0.9285714285714286,52,1,Tornado | Anvil Rain,1,0,1.0,0.0,3,1,15,0.0625,6,Stampede | Nuke | Flood | Swappage | Tornado | Anvil Rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spaceship,16,16,true,179,16,"Meteor Shower | Red Light, Green Light",14,2,0.875,0.125,118,14,Acid Rain | Swappage,12,2,0.8571428571428571,0.14285714285714285,54,12,Zombie Apocalypse | Grounded,2,10,0.16666666666666666,0.8333333333333334,3,2,14,0.125,6,"Meteor Shower | Red Light, Green Light | Acid Rain | Swappage | Zombie Apocalypse | Grounded",false,excluding_recorder_when_alive,true,15,0,0,true,15,13,true,13,11,true,11,1,true,1,14,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Arctic Lab,16,16,true,205,16,Withers | Swappage,12,4,0.75,0.25,132,12,Lightning | Disco,7,5,0.5833333333333334,0.4166666666666667,54,7,Sinkhole | Bat Swarm,3,4,0.42857142857142855,0.5714285714285714,3,3,13,0.1875,6,Withers | Swappage | Lightning | Disco | Sinkhole | Bat Swarm,false,excluding_recorder_when_alive,true,15,0,0,true,15,11,true,11,6,true,6,2,true,2,13,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Melon Mall,15,16,true,184,16,Lightning | Werewolf,14,2,0.875,0.125,128,14,Acid Rain,12,2,0.8571428571428571,0.14285714285714285,64,12,Dragons,9,3,0.75,0.25,3,9,6,0.6,4,Lightning | Werewolf | Acid Rain | Dragons,false,excluding_recorder_when_alive,true,14,-1,-1,true,15,13,true,13,11,true,11,8,true,8,6,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Melon Mall,16,16,true,193,15,Tornado,12,3,0.8,0.2,123,12,TNT Rain | Nuke,12,0,1.0,0.0,59,12,Fragile Ground,10,2,0.8333333333333334,0.16666666666666666,3,10,6,0.625,4,Tornado | TNT Rain | Nuke | Fragile Ground,false,excluding_recorder_when_alive,true,15,1,1,true,14,11,true,11,11,true,11,9,true,9,6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Area 52,16,16,true,196,16,TNT Rain,14,2,0.875,0.125,123,14,Dragons | Disco,8,6,0.5714285714285714,0.42857142857142855,65,8,Tornado | Hot Potato,3,5,0.375,0.625,3,3,13,0.1875,5,TNT Rain | Dragons | Disco | Tornado | Hot Potato,false,excluding_recorder_when_alive,true,15,0,0,true,15,13,true,13,7,true,7,2,true,2,13,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Monorail,14,16,true,207,13,TNT Rain | Grounded,13,0,1.0,0.0,127,13,Zombie Apocalypse | Purge,9,4,0.6923076923076923,0.3076923076923077,58,9,Stampede | Swappage,7,2,0.7777777777777778,0.2222222222222222,3,7,7,0.5,6,TNT Rain | Grounded | Zombie Apocalypse | Purge | Stampede | Swappage,false,excluding_recorder_when_alive,true,13,1,1,true,12,12,true,12,8,true,8,6,true,6,7,0.46153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cruise Ship,16,16,true,191,16,Stampede | Hypixel Says,11,5,0.6875,0.3125,122,11,The Floor is Lava | Bat Swarm,4,7,0.36363636363636365,0.6363636363636364,71,4,Dragons,1,3,0.25,0.75,3,1,15,0.0625,5,Stampede | Hypixel Says | The Floor is Lava | Bat Swarm | Dragons,false,excluding_recorder_when_alive,true,15,0,0,true,15,10,true,10,3,true,3,0,true,0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spaceship,16,16,true,179,16,The Floor is Lava | Swappage,3,13,0.1875,0.8125,101,3,Acid Rain | Blackout,2,1,0.6666666666666666,0.3333333333333333,51,2,Withers,1,1,0.5,0.5,3,1,15,0.0625,5,The Floor is Lava | Swappage | Acid Rain | Blackout | Withers,false,excluding_recorder_when_alive,true,15,0,0,true,15,2,true,2,1,true,1,0,true,0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
